Income ,Limit,Rating,Cards,Age,Education Own,,Student,Married,Region,Balance
14.891,3606,283,2,34,11,No,No,Yes,South,333
106.025,6645,483,3,82,15,Yes,Yes,Yes,West,903
104.593,7075,514,4,71,11,No,No,No,West,580
148.924,9504,681,3,36,11,Yes,No,No,West,964
55.882,4897,357,2,68,16,No,No,Yes,South,331
80.18,8047,569,4,77,10,No,No,No,South,1151
20.996,3388,259,2,37,12,Yes,No,No,East,203
71.408,7114,512,2,87,9,No,No,No,West,872
15.125,3300,266,5,66,13,Yes,No,No,South,279
71.061,6819,491,3,41,19,Yes,Yes,Yes,East,1350
63.095,8117,589,4,30,14,No,No,Yes,South,1407
15.045,1311,138,3,64,16,No,No,No,South,0
80.616,5308,394,1,57,7,Yes,No,Yes,West,204
43.682,6922,511,1,49,9,No,No,Yes,South,1081
19.144,3291,269,2,75,13,Yes,No,No,East,148
20.089,2525,200,3,57,15,Yes,No,Yes,East,0
53.598,3714,286,3,73,17,Yes,No,Yes,East,0
36.496,4378,339,3,69,15,Yes,No,Yes,West,368
49.57,6384,448,1,28,9,Yes,No,Yes,West,891
